week,repo,total_stars,captured_at
2026-W27,Nutlope/hallmark,3528,2026-07-05T08:57:33.239515
2026-W27,IvanMurzak/Unity-MCP,3441,2026-07-05T08:57:33.239515
2026-W27,white0dew/XiaohongshuSkills,3129,2026-07-05T08:57:33.239515
2026-W27,taishi-i/awesome-ChatGPT-repositories,3122,2026-07-05T08:57:33.239515
2026-W27,ningzimu/codex-ppt-skill,3056,2026-07-05T08:57:33.239515
2026-W27,eugeniughelbur/obsidian-second-brain,2960,2026-07-05T08:57:33.239515
2026-W27,op7418/Claude-to-IM-skill,2795,2026-07-05T08:57:33.239515
2026-W27,xingkongliang/skills-manager,2741,2026-07-05T08:57:33.239515
2026-W27,JimLiu/baoyu-design,2320,2026-07-05T08:57:33.239515
2026-W27,conorbronsdon/avoid-ai-writing,2157,2026-07-05T08:57:33.239515
2026-W27,codejunkie99/agentic-stack,2154,2026-07-05T08:57:33.239515
2026-W27,ciembor/agent-rules-books,2082,2026-07-05T08:57:33.239515
2026-W27,iamzhihuix/skills-manage,2065,2026-07-05T08:57:33.239515
2026-W27,FrancyJGLisboa/agent-skill-creator,1731,2026-07-05T08:57:33.239515
2026-W27,Eronred/aso-skills,1580,2026-07-05T08:57:33.239515
2026-W27,wondelai/skills,1550,2026-07-05T08:57:33.239515
2026-W27,bergside/awesome-design-skills,1547,2026-07-05T08:57:33.239515
2026-W27,0Chencc/clawgod,1542,2026-07-05T08:57:33.239515
2026-W27,Shpigford/chops,1440,2026-07-05T08:57:33.239515
2026-W27,wuji-labs/nopua,1343,2026-07-05T08:57:33.239515
2026-W27,bevibing/tutor-skills,1004,2026-07-05T08:57:33.239515
2026-W27,cookiy-ai/user-research-skill,974,2026-07-05T08:57:33.239515
2026-W27,MrGeDiao/shuorenhua,617,2026-07-05T08:57:33.239515
2026-W27,echoVic/boss-skill,549,2026-07-05T08:57:33.239515
2026-W27,mgechev/skillgrade,541,2026-07-05T08:57:33.239515
2026-W27,Jane-xiaoer/claude-skill-web-clone,520,2026-07-05T08:57:33.239515
2026-W27,meodai/skill.color-expert,514,2026-07-05T08:57:33.239515
2026-W27,VILA-Lab/FigMirror,487,2026-07-05T08:57:33.239515
2026-W27,jihe520/social-push,480,2026-07-05T08:57:33.239515
2026-W27,OtterMind/Nubase,451,2026-07-05T08:57:33.239515
2026-W27,LeonChaoX/qinyan-academic-skills,449,2026-07-05T08:57:33.239515
2026-W27,alexknowshtml/api2cli,446,2026-07-05T08:57:33.239515
2026-W27,peterfei/ai-agent-team,394,2026-07-05T08:57:33.239515
2026-W27,yogsoth-ai/de-anthropocentric-research-engine,381,2026-07-05T08:57:33.239515
2026-W27,liyupi/yupi-skill,365,2026-07-05T08:57:33.239515
2026-W27,HuangYuChuh/ComfyUI_Skills_OpenClaw,339,2026-07-05T08:57:33.239515
2026-W27,AI272/speaker,338,2026-07-05T08:57:33.239515
2026-W27,heygen-com/skills,331,2026-07-05T08:57:33.239515
2026-W27,tmchow/illo-skill,260,2026-07-05T08:57:33.239515
