week,rank,skill,owner_repo,installs,installs_raw,url
2026-W32,216,pr-to-video,heygen-com/hyperframes,138800,138.8K,https://www.skills.sh/heygen-com/hyperframes/pr-to-video
2026-W32,217,embedded-captions,heygen-com/hyperframes,135200,135.2K,https://www.skills.sh/heygen-com/hyperframes/embedded-captions
2026-W32,218,image-to-video,skills-collective/skills,129500,129.5K,https://www.skills.sh/skills-collective/skills/image-to-video
2026-W32,219,video-edit,skills-collective/skills,129400,129.4K,https://www.skills.sh/skills-collective/skills/video-edit
2026-W32,220,extract-design-system,arvindrk/extract-design-system,126600,126.6K,https://www.skills.sh/arvindrk/extract-design-system/extract-design-system
2026-W32,221,webapp-testing,anthropics/skills,125800,125.8K,https://www.skills.sh/anthropics/skills/webapp-testing
2026-W32,222,loop-me,mattpocock/skills,125200,125.2K,https://www.skills.sh/mattpocock/skills/loop-me
2026-W32,223,coll_ai-video-generation,skills-collective/skills,123300,123.3K,https://www.skills.sh/skills-collective/skills/coll_ai-video-generation
2026-W32,224,coll_ai-music,skills-collective/skills,123200,123.2K,https://www.skills.sh/skills-collective/skills/coll_ai-music
2026-W32,225,coll_ai-image-generation,skills-collective/skills,122700,122.7K,https://www.skills.sh/skills-collective/skills/coll_ai-image-generation
2026-W32,226,marketing-psychology,coreyhaines31/marketingskills,121800,121.8K,https://www.skills.sh/coreyhaines31/marketingskills/marketing-psychology
2026-W32,227,music-to-video,heygen-com/hyperframes,121200,121.2K,https://www.skills.sh/heygen-com/hyperframes/music-to-video
2026-W32,228,slideshow,heygen-com/hyperframes,120600,120.6K,https://www.skills.sh/heygen-com/hyperframes/slideshow
2026-W32,229,sentry-cli,sentry/dev,120500,120.5K,https://www.skills.sh/sentry/dev/sentry-cli
2026-W32,230,firebase-basics,firebase/agent-skills,120100,120.1K,https://www.skills.sh/firebase/agent-skills/firebase-basics
2026-W32,231,ai-image-generation,skills-collective/skills,119400,119.4K,https://www.skills.sh/skills-collective/skills/ai-image-generation
2026-W32,232,firebase-auth-basics,firebase/agent-skills,119200,119.2K,https://www.skills.sh/firebase/agent-skills/firebase-auth-basics
2026-W32,233,ai-video-generation,skills-collective/skills,118200,118.2K,https://www.skills.sh/skills-collective/skills/ai-video-generation
2026-W32,234,ai-music,skills-collective/skills,118000,118.0K,https://www.skills.sh/skills-collective/skills/ai-music
2026-W32,235,content-strategy,coreyhaines31/marketingskills,117200,117.2K,https://www.skills.sh/coreyhaines31/marketingskills/content-strategy
2026-W32,236,firebase-hosting-basics,firebase/agent-skills,116400,116.4K,https://www.skills.sh/firebase/agent-skills/firebase-hosting-basics
2026-W32,237,firebase-app-hosting-basics,firebase/agent-skills,116000,116.0K,https://www.skills.sh/firebase/agent-skills/firebase-app-hosting-basics
2026-W32,238,firebase-data-connect,firebase/agent-skills,115400,115.4K,https://www.skills.sh/firebase/agent-skills/firebase-data-connect
2026-W32,239,coll_image-to-video,skills-collective/skills,112400,112.4K,https://www.skills.sh/skills-collective/skills/coll_image-to-video
2026-W32,240,programmatic-seo,coreyhaines31/marketingskills,112400,112.4K,https://www.skills.sh/coreyhaines31/marketingskills/programmatic-seo
2026-W32,241,coll_video-edit,skills-collective/skills,111900,111.9K,https://www.skills.sh/skills-collective/skills/coll_video-edit
2026-W32,242,higgsfield-generate,higgsfield-ai/skills,110700,110.7K,https://www.skills.sh/higgsfield-ai/skills/higgsfield-generate
2026-W32,243,marketing-ideas,coreyhaines31/marketingskills,109100,109.1K,https://www.skills.sh/coreyhaines31/marketingskills/marketing-ideas
2026-W32,244,browser-act,browser-act/skills,107400,107.4K,https://www.skills.sh/browser-act/skills/browser-act
2026-W32,245,playwright-cli,microsoft/playwright-cli,106700,106.7K,https://www.skills.sh/microsoft/playwright-cli/playwright-cli
2026-W32,247,wizard,mattpocock/skills,104900,104.9K,https://www.skills.sh/mattpocock/skills/wizard
2026-W32,248,talking-head-recut,heygen-com/hyperframes,104300,104.3K,https://www.skills.sh/heygen-com/hyperframes/talking-head-recut
2026-W32,249,copy-editing,coreyhaines31/marketingskills,103900,103.9K,https://www.skills.sh/coreyhaines31/marketingskills/copy-editing
2026-W32,250,agent-browser,101-skills/skills,103300,103.3K,https://www.skills.sh/101-skills/skills/agent-browser
2026-W32,251,prisma-database-setup,prisma/skills,102700,102.7K,https://www.skills.sh/prisma/skills/prisma-database-setup
2026-W32,252,website-to-video,heygen-com/hyperframes,102100,102.1K,https://www.skills.sh/heygen-com/hyperframes/website-to-video
2026-W32,253,prisma-client-api,prisma/skills,101900,101.9K,https://www.skills.sh/prisma/skills/prisma-client-api
2026-W32,254,deploy-to-vercel,vercel-labs/agent-skills,101600,101.6K,https://www.skills.sh/vercel-labs/agent-skills/deploy-to-vercel
2026-W32,255,ai-seo,coreyhaines31/marketingskills,101300,101.3K,https://www.skills.sh/coreyhaines31/marketingskills/ai-seo
2026-W32,256,claude-handoff,mattpocock/skills,101100,101.1K,https://www.skills.sh/mattpocock/skills/claude-handoff
2026-W32,257,prisma-cli,prisma/skills,100100,100.1K,https://www.skills.sh/prisma/skills/prisma-cli
2026-W32,258,python-appservice-deploy,microsoft/azure-skills,100000,100.0K,https://www.skills.sh/microsoft/azure-skills/python-appservice-deploy
2026-W32,259,sleek-design-mobile-apps,design-layers/agent-skills,99300,99.3K,https://www.skills.sh/design-layers/agent-skills/sleek-design-mobile-apps
2026-W32,260,azure-observability,microsoft/azure-skills,98300,98.3K,https://www.skills.sh/microsoft/azure-skills/azure-observability
2026-W32,261,prisma-postgres,prisma/skills,96800,96.8K,https://www.skills.sh/prisma/skills/prisma-postgres
2026-W32,262,mcp-builder,anthropics/skills,96700,96.7K,https://www.skills.sh/anthropics/skills/mcp-builder
2026-W32,263,firecrawl,firecrawl/cli,95600,95.6K,https://www.skills.sh/firecrawl/cli/firecrawl
